# frame	rmsd_ca_A
0	8.763
1	7.680
2	7.411
3	7.463
4	6.878
5	6.315
6	5.549
7	3.708
8	2.933
9	2.862
10	2.832
11	2.639
12	2.374
13	2.612
14	2.682
15	2.580
16	2.719
17	2.487
18	2.504
19	2.839
20	2.389
21	3.066
22	2.798
23	2.818
24	2.917
25	2.508
26	2.826
27	2.559
28	3.055
29	2.786
30	3.371
31	2.622
32	2.955
33	2.769
34	2.945
35	2.734
36	2.612
37	3.046
38	2.965
39	2.992
40	2.920
41	2.658
42	2.635
43	2.693
44	2.730
45	3.103
46	2.544
47	2.644
48	2.822
49	2.678
50	2.843
min RMSD over 51 frames: 2.374 Å at frame 12
