# frame	rmsd_ca_A
0	8.763
1	7.441
2	6.241
3	6.033
4	5.416
5	5.594
6	5.195
7	5.144
8	6.630
9	6.583
10	5.889
11	5.261
12	5.450
13	4.970
14	4.307
15	4.058
16	4.051
17	3.586
18	4.264
19	4.738
20	3.963
21	3.468
22	3.063
23	2.133
24	2.457
25	2.657
26	2.926
27	2.736
28	2.595
29	2.930
30	3.079
31	2.722
32	2.883
33	2.879
34	3.151
35	2.822
36	3.062
37	3.321
38	3.410
39	3.045
40	3.386
41	2.887
42	2.417
43	2.989
44	2.866
45	2.869
46	2.861
47	2.982
48	2.907
49	3.256
50	2.869
min RMSD over 51 frames: 2.133 Å at frame 23
